variant_name,mask_name,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_outside_ratio
C90b_wc3_h8_kc0.00_kh0.3_s10,C90b,3,8,0.0,0.3,10.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,217.40859985351562,148.40121459960938,0.0,217408599.85351562
C90b_wc3_h8_kc0.05_kh0.2_s10,C90b,3,8,0.05,0.2,10.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,206.53817749023438,169.6013946533203,0.0,206538177.49023438
C90b_wc3_h8_kc0.05_kh0.3_s10,C90b,3,8,0.05,0.3,10.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,206.53817749023438,148.40121459960938,0.0,206538177.49023438
C90b_wc3_h8_kc0.10_kh0.2_s10,C90b,3,8,0.1,0.2,10.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,195.66775512695312,169.6013946533203,0.0,195667755.12695312
C90b_wc3_h8_kc0.10_kh0.3_s10,C90b,3,8,0.1,0.3,10.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,195.66775512695312,148.40121459960938,0.0,195667755.12695312
C90b_wc3_h8_kc0.00_kh0.2_s15,C90b,3,8,0.0,0.2,15.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,221.6337890625,173.3277130126953,0.0,221633789.0625
C90b_wc3_h8_kc0.00_kh0.3_s15,C90b,3,8,0.0,0.3,15.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,221.6337890625,151.6616973876953,0.0,221633789.0625
C90b_wc3_h8_kc0.05_kh0.2_s15,C90b,3,8,0.05,0.2,15.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,210.5520782470703,173.3277130126953,0.0,210552078.2470703
C90b_wc3_h8_kc0.05_kh0.3_s15,C90b,3,8,0.05,0.3,15.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,210.5520782470703,151.6616973876953,0.0,210552078.2470703
C90b_wc3_h8_kc0.10_kh0.2_s15,C90b,3,8,0.1,0.2,15.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,199.47039794921875,173.3277130126953,0.0,199470397.94921875
