variant_name,mask_name,width,method,sigma,keep_ratio,feather_radius,edit_coverage_percent,mean_abs_removed_inside,mean_abs_removed_outside,removed_inside_outside_ratio
D_sato85_width4_mg_sigma15_keep0.2,D_sato85,4,masked_gaussian,15.0,0.2,2.0,37.38705738705739,171.28958129882812,4.311964988708496,39.724251413769515
D_sato85_width4_mg_sigma25_keep0.0,D_sato85,4,masked_gaussian,25.0,0.0,2.0,37.38705738705739,213.66256713867188,5.959005355834961,35.855407803830374
D_sato85_width4_mg_sigma25_keep0.1,D_sato85,4,masked_gaussian,25.0,0.1,2.0,37.38705738705739,192.29629516601562,5.3631062507629395,35.85539539490946
D_sato85_width4_mg_sigma25_keep0.2,D_sato85,4,masked_gaussian,25.0,0.2,2.0,37.38705738705739,170.93003845214844,4.767207622528076,35.8553794981355
D_sato85_width4_side_sigma15_keep0.0,D_sato85,4,side_band,15.0,0.0,2.0,37.38705738705739,216.4850311279297,6.302736759185791,34.34778246329551
D_sato85_width4_side_sigma15_keep0.1,D_sato85,4,side_band,15.0,0.1,2.0,37.38705738705739,194.83663940429688,5.6724677085876465,34.34777409298079
D_sato85_width4_side_sigma15_keep0.2,D_sato85,4,side_band,15.0,0.2,2.0,37.38705738705739,173.1880645751953,5.042191505432129,34.347776039171414
D_sato85_width4_side_sigma25_keep0.0,D_sato85,4,side_band,25.0,0.0,2.0,37.38705738705739,217.9253387451172,6.533418655395508,33.355483589766195
D_sato85_width4_side_sigma25_keep0.1,D_sato85,4,side_band,25.0,0.1,2.0,37.38705738705739,196.13282775878906,5.880077838897705,33.35548153144119
D_sato85_width4_side_sigma25_keep0.2,D_sato85,4,side_band,25.0,0.2,2.0,37.38705738705739,174.34036254882812,5.226735591888428,33.35549684575467
D_sato85_width6_mg_sigma15_keep0.0,D_sato85,6,masked_gaussian,15.0,0.0,2.0,45.553270538984826,207.5930633544922,5.144556522369385,40.3519841704223
D_sato85_width6_mg_sigma15_keep0.1,D_sato85,6,masked_gaussian,15.0,0.1,2.0,45.553270538984826,186.833740234375,4.63010311126709,40.35196101350871
D_sato85_width6_mg_sigma15_keep0.2,D_sato85,6,masked_gaussian,15.0,0.2,2.0,45.553270538984826,166.0744171142578,4.115644931793213,40.35197881900325
D_sato85_width6_mg_sigma25_keep0.0,D_sato85,6,masked_gaussian,25.0,0.0,2.0,45.553270538984826,206.6381072998047,5.69825553894043,36.26339778686519
D_sato85_width6_mg_sigma25_keep0.1,D_sato85,6,masked_gaussian,25.0,0.1,2.0,45.553270538984826,185.97425842285156,5.1284284591674805,36.26340113810256
D_sato85_width6_mg_sigma25_keep0.2,D_sato85,6,masked_gaussian,25.0,0.2,2.0,45.553270538984826,165.31053161621094,4.558604717254639,36.26340555269005
D_sato85_width6_side_sigma15_keep0.0,D_sato85,6,side_band,15.0,0.0,2.0,45.553270538984826,215.14297485351562,6.235321044921875,34.50391299879111
D_sato85_width6_side_sigma15_keep0.1,D_sato85,6,side_band,15.0,0.1,2.0,45.553270538984826,193.62869262695312,5.611791610717773,34.503899299672526
D_sato85_width6_side_sigma15_keep0.2,D_sato85,6,side_band,15.0,0.2,2.0,45.553270538984826,172.1143798828125,4.988260269165039,34.50388925107589
D_sato85_width6_side_sigma25_keep0.0,D_sato85,6,side_band,25.0,0.0,2.0,45.553270538984826,216.7699737548828,6.400474548339844,33.86779716374447
D_sato85_width6_side_sigma25_keep0.1,D_sato85,6,side_band,25.0,0.1,2.0,45.553270538984826,195.0929718017578,5.760427951812744,33.86779132275479
D_sato85_width6_side_sigma25_keep0.2,D_sato85,6,side_band,25.0,0.2,2.0,45.553270538984826,173.4159698486328,5.120380878448486,33.8677871754687
