variant_name,core_mix,keep_halo,mode,texture_scale,core_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,gamma_mean_core,gamma_mean_halo
v5r_cm0.70_kh0.3_hc_ts0.00,0.7,0.3,hard_core,0.0,22.594331065759636,33.15222396650968,215.28884887695312,97.1403579711914,0.0,0.699999988079071,0.699999988079071
v5r_cm0.70_kh0.3_dc_ts0.00,0.7,0.3,distance_core,0.0,22.594331065759636,33.15222396650968,215.28887939453125,97.1403579711914,0.0,0.6999999945763318,0.699999988079071
v5r_cm0.70_kh0.5_hc_ts0.00,0.7,0.5,hard_core,0.0,22.594331065759636,33.15222396650968,215.28884887695312,69.38606262207031,0.0,0.699999988079071,0.5
v5r_cm0.70_kh0.5_dc_ts0.00,0.7,0.5,distance_core,0.0,22.594331065759636,33.15222396650968,195.83131408691406,69.38606262207031,0.0,0.6120387680822836,0.5
v5r_cm0.70_kh0.7_hc_ts0.00,0.7,0.7,hard_core,0.0,22.594331065759636,33.15222396650968,215.28884887695312,41.63172912597656,0.0,0.699999988079071,0.30000001192092896
v5r_cm0.70_kh0.7_dc_ts0.00,0.7,0.7,distance_core,0.0,22.594331065759636,33.15222396650968,176.37371826171875,41.63172912597656,0.0,0.5240775298263388,0.30000001192092896
v5r_cm0.85_kh0.3_hc_ts0.00,0.85,0.3,hard_core,0.0,22.594331065759636,33.15222396650968,261.4224548339844,97.1403579711914,0.0,0.8500000238418579,0.699999988079071
v5r_cm0.85_kh0.3_dc_ts0.00,0.85,0.3,distance_core,0.0,22.594331065759636,33.15222396650968,246.82908630371094,97.1403579711914,0.0,0.7840290959275341,0.699999988079071
v5r_cm0.85_kh0.5_hc_ts0.00,0.85,0.5,hard_core,0.0,22.594331065759636,33.15222396650968,261.4224548339844,69.38606262207031,0.0,0.8500000238418579,0.5
v5r_cm0.85_kh0.5_dc_ts0.00,0.85,0.5,distance_core,0.0,22.594331065759636,33.15222396650968,227.3715362548828,69.38606262207031,0.0,0.6960678582099868,0.5
v5r_cm0.85_kh0.7_hc_ts0.00,0.85,0.7,hard_core,0.0,22.594331065759636,33.15222396650968,261.4224548339844,41.63172912597656,0.0,0.8500000238418579,0.30000001192092896
v5r_cm0.85_kh0.7_dc_ts0.00,0.85,0.7,distance_core,0.0,22.594331065759636,33.15222396650968,207.9138946533203,41.63172912597656,0.0,0.6081066344261715,0.30000001192092896
v5r_cm1.00_kh0.3_hc_ts0.00,1.0,0.3,hard_core,0.0,22.594331065759636,33.15222396650968,307.5557556152344,97.1403579711914,0.0,1.0,0.699999988079071
v5r_cm1.00_kh0.3_dc_ts0.00,1.0,0.3,distance_core,0.0,22.594331065759636,33.15222396650968,278.3692626953125,97.1403579711914,0.0,0.8680581578904248,0.699999988079071
v5r_cm1.00_kh0.5_hc_ts0.00,1.0,0.5,hard_core,0.0,22.594331065759636,33.15222396650968,307.5557556152344,69.38606262207031,0.0,1.0,0.5
v5r_cm1.00_kh0.5_dc_ts0.00,1.0,0.5,distance_core,0.0,22.594331065759636,33.15222396650968,258.91168212890625,69.38606262207031,0.0,0.7800969337340268,0.5
v5r_cm1.00_kh0.7_hc_ts0.00,1.0,0.7,hard_core,0.0,22.594331065759636,33.15222396650968,307.5557556152344,41.63172912597656,0.0,1.0,0.30000001192092896
v5r_cm1.00_kh0.7_dc_ts0.00,1.0,0.7,distance_core,0.0,22.594331065759636,33.15222396650968,239.4540557861328,41.63172912597656,0.0,0.6921356963890622,0.30000001192092896
