variant_name,residual_threshold,closing_len,closing_width,keep_halo,baseline_core_coverage_percent,baseline_edit_coverage_percent,cleanup_coverage_percent,cleanup_on_line_fraction,cleanup_dir_bg_coverage_percent,mean_abs_removed_cleanup,residual_p99_v3,residual_p99_v4,core_residual_v3,core_residual_v4
v4_rt0.5_cl0,0.5,0,1,0.3,8.024001395429966,18.553776382347813,11.452660038374324,0.2928336336263157,64.26442434368342,282.1706237792969,2.650895385742187,2.6592338609695423,23.998706817626953,19.709402084350586
v4_rt0.5_cl15_cw1,0.5,15,1,0.3,8.024001395429966,18.553776382347813,12.63584510727368,0.35905070726229377,60.31959669415099,263.9141540527344,2.650895385742187,2.662188611030577,23.998706817626953,21.818679809570312
v4_rt0.5_cl15_cw2,0.5,15,2,0.3,8.024001395429966,18.553776382347813,12.676905634048492,0.36112674350926777,60.21861201733155,263.37408447265625,2.650895385742187,2.6624884605407715,23.998706817626953,21.863767623901367
v4_rt0.5_cl31_cw1,0.5,31,1,0.3,8.024001395429966,18.553776382347813,14.907674864817722,0.45672708466671424,58.576949583283124,240.47352600097656,2.650895385742187,2.6712515354156494,23.998706817626953,20.853500366210938
v4_rt0.5_cl31_cw2,0.5,31,2,0.3,8.024001395429966,18.553776382347813,14.963910692482122,0.45876875697212083,58.57199308528806,240.00460815429688,2.650895385742187,2.6714630413055414,23.998706817626953,20.78446388244629
v4_rt0.8_cl0,0.8,0,1,0.3,8.024001395429966,18.553776382347813,7.472597244025815,0.26925285478193484,64.42586903950478,323.2024841308594,2.650895385742187,2.5926128053665147,23.998706817626953,19.55362892150879
v4_rt0.8_cl15_cw1,0.8,15,1,0.3,8.024001395429966,18.553776382347813,8.737589394732252,0.3750474121926193,58.60007266542363,289.00567626953125,2.650895385742187,2.596768274307248,23.998706817626953,21.424707412719727
v4_rt0.8_cl15_cw2,0.8,15,2,0.3,8.024001395429966,18.553776382347813,8.782155939298796,0.3782188404329061,58.463775197077936,288.03900146484375,2.650895385742187,2.597040936946868,23.998706817626953,21.457286834716797
v4_rt0.8_cl31_cw1,0.8,31,1,0.3,8.024001395429966,18.553776382347813,11.177585906157335,0.5114706208226762,57.34639386652227,252.0526580810547,2.650895385742187,2.609623956680297,23.998706817626953,19.566953659057617
v4_rt0.8_cl31_cw2,0.8,31,2,0.3,8.024001395429966,18.553776382347813,11.237868480725623,0.514091207527314,57.37140036661819,251.4130096435547,2.650895385742187,2.609870195388794,23.998706817626953,19.474119186401367
v4_rt1.0_cl0,1.0,0,1,0.3,8.024001395429966,18.553776382347813,5.573277516134659,0.25733922557868777,64.60114673443583,351.8239440917969,2.650895385742187,2.5580332279205322,23.998706817626953,19.722734451293945
v4_rt1.0_cl15_cw1,1.0,15,1,0.3,8.024001395429966,18.553776382347813,6.874149659863946,0.39788122153287914,57.23645313947144,301.82318115234375,2.650895385742187,2.5635419106483455,23.998706817626953,21.313297271728516
v4_rt1.0_cl15_cw2,1.0,15,2,0.3,8.024001395429966,18.553776382347813,6.920582592011164,0.4019210751165071,57.08582331250614,300.49664306640625,2.650895385742187,2.5639395976066583,23.998706817626953,21.33326530456543
v4_rt1.0_cl31_cw1,1.0,31,1,0.3,8.024001395429966,18.553776382347813,9.394191522762952,0.5594027877579288,56.71306740640475,254.8667449951172,2.650895385742187,2.578890323638916,23.998706817626953,18.717361450195312
v4_rt1.0_cl31_cw2,1.0,31,2,0.3,8.024001395429966,18.553776382347813,9.456061398918541,0.5622855624995389,56.76017678873156,254.12574768066406,2.650895385742187,2.579134066104887,23.998706817626953,18.60903549194336
