variant_name,mask_name,black_threshold,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,dir_bg_coverage_core_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_residual_after_suppress
C90b_bt0.5_wc5_h6_kh0.2,C90b,0.5,5,6,0.0,0.2,15.0,2.0,14.015559044130473,15.774899703471132,29.790458747601605,48.415580601160904,250.08035278320312,177.9897918701172,0.0,-28.74202537536621
C90b_bt0.5_wc5_h6_kh0.3,C90b,0.5,5,6,0.0,0.3,15.0,2.0,14.015559044130473,15.774899703471132,29.790458747601605,48.415580601160904,250.08035278320312,155.7410430908203,0.0,-28.74202537536621
C90b_bt0.5_wc5_h8_kh0.2,C90b,0.5,5,8,0.0,0.2,15.0,2.0,14.015559044130473,20.58888888888889,34.60444793301936,36.58090980595187,247.8226318359375,170.81558227539062,0.0,-49.22893524169922
C90b_bt0.5_wc5_h8_kh0.3,C90b,0.5,5,8,0.0,0.3,15.0,2.0,14.015559044130473,20.58888888888889,34.60444793301936,36.58090980595187,247.8226318359375,149.46356201171875,0.0,-49.22893524169922
C90b_bt0.5_wc7_h6_kh0.2,C90b,0.5,7,6,0.0,0.2,15.0,2.0,19.2962148962149,14.939822082679225,34.23603697889413,49.329718725932246,245.26205444335938,164.27163696289062,0.0,-37.52811813354492
C90b_bt0.5_wc7_h6_kh0.3,C90b,0.5,7,6,0.0,0.3,15.0,2.0,19.2962148962149,14.939822082679225,34.23603697889413,49.329718725932246,245.26205444335938,143.7376251220703,0.0,-37.52811813354492
C90b_bt0.5_wc7_h8_kh0.2,C90b,0.5,7,8,0.0,0.2,15.0,2.0,19.2962148962149,19.518541775684632,38.81475667189953,38.033015985507824,243.99436950683594,159.4945831298828,0.0,-54.00869369506836
C90b_bt0.5_wc7_h8_kh0.3,C90b,0.5,7,8,0.0,0.3,15.0,2.0,19.2962148962149,19.518541775684632,38.81475667189953,38.033015985507824,243.99436950683594,139.5577850341797,0.0,-54.00869369506836
C90b_bt0.8_wc5_h6_kh0.2,C90b,0.8,5,6,0.0,0.2,15.0,2.0,8.018332461189603,12.890441304727018,20.90877376591662,53.616886125680075,257.92596435546875,195.76922607421875,0.0,-9.960948944091797
C90b_bt0.8_wc5_h6_kh0.3,C90b,0.8,5,6,0.0,0.3,15.0,2.0,8.018332461189603,12.890441304727018,20.90877376591662,53.616886125680075,257.92596435546875,171.29806518554688,0.0,-9.960948944091797
C90b_bt0.8_wc5_h8_kh0.2,C90b,0.8,5,8,0.0,0.2,15.0,2.0,8.018332461189603,17.27885923600209,25.297191697191696,42.534224076607984,256.3460388183594,187.3693084716797,0.0,-34.021392822265625
C90b_bt0.8_wc5_h8_kh0.3,C90b,0.8,5,8,0.0,0.3,15.0,2.0,8.018332461189603,17.27885923600209,25.297191697191696,42.534224076607984,256.3460388183594,163.94808959960938,0.0,-34.021392822265625
C90b_bt0.8_wc7_h6_kh0.2,C90b,0.8,7,6,0.0,0.2,15.0,2.0,11.985034013605441,12.972998430141287,24.95803244374673,55.5681689181519,253.96939086914062,180.94107055664062,0.0,-20.353221893310547
C90b_bt0.8_wc7_h6_kh0.3,C90b,0.8,7,6,0.0,0.3,15.0,2.0,11.985034013605441,12.972998430141287,24.95803244374673,55.5681689181519,253.96939086914062,158.32334899902344,0.0,-20.353221893310547
C90b_bt0.8_wc7_h8_kh0.2,C90b,0.8,7,8,0.0,0.2,15.0,2.0,11.985034013605441,17.27507413221699,29.260108145822432,44.55641229395344,252.95018005371094,174.87158203125,0.0,-40.58319854736328
C90b_bt0.8_wc7_h8_kh0.3,C90b,0.8,7,8,0.0,0.3,15.0,2.0,11.985034013605441,17.27507413221699,29.260108145822432,44.55641229395344,252.95018005371094,153.01263427734375,0.0,-40.58319854736328
C90b_bt1.0_wc5_h6_kh0.2,C90b,1.0,5,6,0.0,0.2,15.0,2.0,5.140589569160998,9.976975405546835,15.11756497470783,56.70862882155339,262.81146240234375,207.94483947753906,0.0,13.504809379577637
C90b_bt1.0_wc5_h6_kh0.3,C90b,1.0,5,6,0.0,0.3,15.0,2.0,5.140589569160998,9.976975405546835,15.11756497470783,56.70862882155339,262.81146240234375,181.9517364501953,0.0,13.504809379577637
C90b_bt1.0_wc5_h8_kh0.2,C90b,1.0,5,8,0.0,0.2,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,46.35302500763462,260.35888671875,199.62120056152344,0.0,-13.802091598510742
C90b_bt1.0_wc5_h8_kh0.3,C90b,1.0,5,8,0.0,0.3,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,46.35302500763462,260.35888671875,174.66848754882812,0.0,-13.802091598510742
C90b_bt1.0_wc7_h6_kh0.2,C90b,1.0,7,6,0.0,0.2,15.0,2.0,8.024001395429966,10.529774986917845,18.553776382347813,59.282720601022575,260.5563659667969,192.27565002441406,0.0,0.4998610317707062
C90b_bt1.0_wc7_h6_kh0.3,C90b,1.0,7,6,0.0,0.3,15.0,2.0,8.024001395429966,10.529774986917845,18.553776382347813,59.282720601022575,260.5563659667969,168.24118041992188,0.0,0.4998610317707062
C90b_bt1.0_wc7_h8_kh0.2,C90b,1.0,7,8,0.0,0.2,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,48.90395116691593,257.8066101074219,186.05628967285156,0.0,-22.935535430908203
C90b_bt1.0_wc7_h8_kh0.3,C90b,1.0,7,8,0.0,0.3,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,48.90395116691593,257.8066101074219,162.79920959472656,0.0,-22.935535430908203
D85b_bt0.5_wc5_h8_kh0.2,D85b,0.5,5,8,0.0,0.2,15.0,2.0,23.188138845281703,27.356916099773244,50.54505494505494,30.553507811183593,230.93360900878906,153.52413940429688,0.0,-51.96143341064453
D85b_bt0.5_wc5_h8_kh0.3,D85b,0.5,5,8,0.0,0.3,15.0,2.0,23.188138845281703,27.356916099773244,50.54505494505494,30.553507811183593,230.93360900878906,134.3335418701172,0.0,-51.96143341064453
D85b_bt0.5_wc7_h8_kh0.2,D85b,0.5,7,8,0.0,0.2,15.0,2.0,30.79836036978894,24.639577882435027,55.43793825222396,30.882441226276715,226.8456268310547,145.1991424560547,0.0,-53.685237884521484
D85b_bt0.5_wc7_h8_kh0.3,D85b,0.5,7,8,0.0,0.3,15.0,2.0,30.79836036978894,24.639577882435027,55.43793825222396,30.882441226276715,226.8456268310547,127.04924774169922,0.0,-53.685237884521484
D85b_bt1.0_wc5_h8_kh0.2,D85b,1.0,5,8,0.0,0.2,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,42.31105482114744,244.63645935058594,176.4807891845703,0.0,-34.26727294921875
D85b_bt1.0_wc5_h8_kh0.3,D85b,1.0,5,8,0.0,0.3,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,42.31105482114744,244.63645935058594,154.42068481445312,0.0,-34.26727294921875
D85b_bt1.0_wc7_h8_kh0.2,D85b,1.0,7,8,0.0,0.2,15.0,2.0,14.983673469387753,21.813535670678526,36.797209140066286,43.24015673784129,240.5105438232422,166.29747009277344,0.0,-40.508174896240234
D85b_bt1.0_wc7_h8_kh0.3,D85b,1.0,7,8,0.0,0.3,15.0,2.0,14.983673469387753,21.813535670678526,36.797209140066286,43.24015673784129,240.5105438232422,145.51023864746094,0.0,-40.508174896240234
